F,MSFT,FB,NFLX,GOOG  ,TSLA ,Ibov,SELIC,usd_brl,GOLD
11.540297396582,55.821113902349,123.3,95.12,777.14,223.61,58855.0,14.25,3.1743,137.7
11.587057110506,55.937731828329,124.37,96.37,779.91,223.24,59323.0,14.25,3.2242,138.0
11.530945453797,55.976604470322,123.91,96.16,777.5,223.51,59166.0,14.25,3.2209,139.5
11.587057110506,55.996040791318,123.56,95.87,775.42,225.0,59098.0,14.25,3.2261,137.7
11.559001282151,56.04463159381,124.15,95.26,772.15,222.93,57781.0,14.25,3.2157,136.4
11.615112938861,56.258431124773,124.37,95.94,772.08,224.84,58020.0,14.25,3.2047,138.3
11.502889625442,56.316740087763,123.48,95.18,769.64,222.62,57717.0,14.25,3.2366,136.5
11.661872652785,56.530539618726,123.89,97.32,769.41,220.96,57722.0,14.25,3.2313,136.5
11.577705167721,56.39448537175,124.96,97.58,769.54,219.99,57716.0,14.25,3.2147,137.5
11.661872652785,56.462512495238,126.54,97.3,772.15,215.2,58610.0,14.25,3.2607,137.0
11.736688195065,56.258431124773,125.84,97.45,769.09,211.34,58575.0,14.25,3.2519,134.55
11.633816824431,55.966886309824,126.17,97.38,768.78,200.77,58236.0,14.25,3.2466,136.5
11.68992848114,56.04463159381,126.51,97.38,771.46,197.78,59616.0,14.25,3.2425,137.0
11.848911508484,55.98632263082,129.73,100.09,780.08,202.83,60129.0,14.25,3.2446,138.0
11.905023165193,55.81139574185,130.27,99.66,775.32,197.36,60231.0,14.25,3.1928,137.0
11.577705167721,54.625780161055,127.1,96.5,759.66,194.47,57999.0,14.25,3.2632,138.6
11.876967336838,55.442105642914,128.69,99.05,769.02,198.3,58586.0,14.25,3.2848,137.0
11.577705167721,54.936761297002,127.21,96.09,759.69,196.05,56820.0,14.25,3.2966,139.0
11.353258540883,54.674370963547,127.77,97.01,762.49,196.41,57059.0,14.25,3.3256,140.7
11.325202712529,55.578159889891,128.35,97.34,771.76,200.42,57909.0,14.25,3.332,139.8
11.325202712529,55.636468852881,129.07,99.48,768.88,205.4,57079.0,14.25,3.2998,137.0
11.325202712529,55.325487716934,128.65,98.06,765.7,206.34,57350.0,14.25,3.263,137.45
11.222331341895,55.208869790955,128.64,98.25,771.41,204.64,57736.0,14.25,3.2534,136.3
11.306498826959,56.132095038295,129.94,94.88,776.22,205.22,58393.0,14.25,3.2402,137.0
11.390666312023,56.190404001285,130.08,95.83,787.21,206.43,58994.0,14.25,3.2009,138.0
11.381314369238,55.81139574185,127.96,95.94,786.9,207.45,58697.0,14.25,3.2236,138.0
11.231683284679,55.296333235439,127.31,94.56,774.21,208.99,58053.0,14.25,3.2394,137.9
11.203627456325,56.316740087763,128.69,97.07,783.01,205.81,58382.0,14.25,3.2352,137.2
