^GSPC,^DJI,F,MSFT,FB,NFLX,GOOG,TSLA,^BVSP,PETR4.SA,VALE3.SA,UGPA3.SA,ITSA3.SA,EZTC3.SA
105.19160601035628,102.91812069350277,109.05165425414292,118.66924539197498,,148.29734937674795,90.91537841556946,117.91310790709446,109.86923141820637,105.97947604242503,96.11423014013528,121.08801751076123,97.91662684214579,122.5306052353171
105.91749352589395,103.54873529303106,110.40465063095539,119.72210363076937,,145.61185047569128,91.19189980339489,117.94871446535788,111.39289631316967,107.00577359655074,95.97376425650762,122.05572476822782,99.93050962460815,124.21724767550562
106.95738426615391,104.11829395970057,112.38907782429308,120.36131083990553,,149.5985603953091,91.24299834845819,117.77065450383226,112.89631316966168,107.4966449268024,96.32491957321614,123.49165847120236,97.22217822560869,126.20523596514109
107.3457732776278,104.23185909762151,113.47145054523354,120.28611101078116,,151.06589741864752,90.20754847962954,123.71795503153884,112.55209651565006,105.80096740934127,96.23127773798895,124.24085370158508,98.61110276692578,127.10850880788553
107.36299805117268,104.5358784149593,112.11849073918536,120.47412790675014,,147.00997218080187,90.94392915218951,128.24073511172764,112.01383615962203,104.55152658820752,95.08427013781599,124.55304220283685,97.91662684214579,127.71121346789127
109.30965554658738,106.29407029600904,114.55383545642874,122.84297449364192,,147.21760889445486,92.84201453113724,128.52564191825203,115.403695267021,109.01382377871747,99.95318847474701,126.92548943445622,103.81938546622544,129.57852084551814
109.1788925598537,106.42651700676736,116.1774311086037,123.2190169471589,,145.69490885756466,92.57300601047788,125.67664177852924,115.17253016114064,110.79873069387618,99.01685778450744,127.0503249873722,99.09719859300651,129.57852084551814
109.83038472994193,106.89968276279396,116.35785906943983,123.51978161734027,,152.5055390736643,93.34545949376901,124.64387498253464,114.31536319919007,108.07672571967615,99.95318847474701,125.86413169037698,98.61110276692578,134.8190612590748
109.9533287018256,106.7372319173099,112.84006848972739,122.5797664301276,,152.21484397813794,93.93306514116179,125.78347503842377,114.20568632413735,108.65682644762538,100.585200419826,124.67787775575286,97.91662684214579,137.65039021047224
110.3902663397337,106.78974112237205,113.92244121066784,121.07575252448217,,158.2641241757925,95.27659780546941,124.57264828090355,114.2833038049439,,100.585200419826,124.67787775575286,97.91662684214579,139.15636771322244
110.0590383414665,106.23366029096528,113.11065557483514,120.28611101078116,,159.21927708527548,95.20296065890791,124.50142157927245,113.55099974689952,108.299839084071,99.74249904166615,122.5239685387726,98.75003800397135,139.9397502717783
109.85309619605883,105.86608010119325,113.3812548501976,119.98527704796757,,166.2513870786737,96.178298383463,125.1780684522158,112.8153210157766,107.58588429203768,99.36799431649474,125.83288598644471,103.74997701556224,140.4816802785343
